nama;tipe;lat;lon;kecamatan
TPA Kalijurang;TPA;-7.232334;108.997435;Tonjong
TPA Kaliwlingi;TPA;-6.822800;109.031273;Brebes
TPST Gandasuli;TPST;-6.880642;109.048973315342;Brebes
TPS3R Grinting;TPS3R;-6.874511;108.926532955356;Bulakamba
TPS3R Banjarharjo;TPS3R;-7.013631;108.819533381602;Banjarharjo
TPS3R Kemurang Wetan;TPS3R;-6.885538;108.894152;Tanjung
TPS3R Pesantunan;TPS3R;-6.857585;109.022201;Wansari
TPS3R Mlayang;TPS3R;-7.211498;109.079376;Sirampog
TPS3R Ketanggungan;TPS3R;-6.918698;108.891515;Ketanggungan
TPS3R Buniwah;TPS3R;-7.198441;109.046851;Sirampog
TPS3R Kalipucang;TPS3R;-6.919513;109.065966;Jatibarang
TPS3R Karangbandung;TPS3R;-6.963618;108.869096;Ketanggungan
TPS3R Songgom Lor;TPS3R;-7.024201;108.998834;Songgom
TPS3R Kubangputat;TPS3R;-6.927692;108.838301;Tanjung
TPS3R Kutamendala;TPS3R;-7.155357;108.991825;Tonjong
TPS3R Klampok;TPS3R;-6.866986;108.98877;Wanasari
TPS3R Bandungsari;TPS3R;-7.077418;108.811781;Banjarharjo
TPS3R Slatri;TPS3R;-6.941069;108.937519;Larangan
