nama;tipe;lat;lon
TPA Kalijurang;TPA;-7.232.334;108.997.435
TPA Kaliwlingi;TPA;-6.822.800;109.031.273
TPST Gandasuli;TPST;-6.880.642;109.048.973.315.342
TPS3R Grinting;TPS3R;-6.874.511;108.926.532.955.356
TPS3R Banjarharjo;TPS3R;-7.013.631;108.819.533.381.602
TPS3R Kemurang Wetan;TPS3R;-6.885.538;108.894.152
TPS3R Pesantunan;TPS3R;-6.857.585;109.022.201
TPS3R Mlayang;TPS3R;-7.211.498;109.079.376
TPS3R Ketanggungan;TPS3R;-6.918.698;108.891.515
TPS3R Buniwah;TPS3R;-7.198.441;109.046.851
TPS3R Kalipucang;TPS3R;-6.919.513;109.065.966
TPS3R Karangbandung;TPS3R;-6.963.618;108.869.096
TPS3R Songgom Lor;TPS3R;-7.024.201;108.998.834
TPS3R Kubangputat;TPS3R;-6.927.692;108.838.301
TPS3R Kutamendala;TPS3R;-7.155.357;108.991.825
TPS3R Klampok;TPS3R;-6.866.986;10.898.877
TPS3R Bandungsari;TPS3R;-7.077.418;108.811.781
TPS3R Slatri;TPS3R;-6.941.069;108.937.519
